HGNC symbol,TCGA ID,RNA compete matrix,type
A1CF,A1CF|29974,A1CF_00001,RBP/SF
ANKHD1,ANKHD1|54882,ANKHD1_00002,RBP/SF
CELF1,CELF1|10658,BRUNOL4_00004,RBP/SF
CELF2,CELF2|10659,BRUNOL4_00004,RBP/SF
CELF3,CELF3|11189,BRUNOL4_00004,RBP/SF
CELF4,CELF4|56853,BRUNOL4_00004,RBP/SF
CELF5,CELF5|60680,BRUNOL5_00166,RBP/SF
CELF6,CELF6|60677,BRUNOL6_00187,RBP/SF
CNOT4,CNOT4|4850,CNOT4_00156,RBP/SF
CPEB1,CPEB1|64506,CPEB2_00012,RBP/SF
CPEB2,CPEB2|132864,CPEB2_00012,RBP/SF
CPEB3,CPEB3|22849,CPEB2_00012,RBP/SF
CPEB4,CPEB4|80315,CPEB4_00158,RBP/SF
DAZAP1,DAZAP1|26528,DAZAP1_00013,RBP/SF
ELAVL1,ELAVL1|1994,HuR_00032,RBP/SF
ELAVL2,ELAVL2|1993,HuR_00032,RBP/SF
ELAVL3,ELAVL3|1995,HuR_00032,RBP/SF
ELAVL4,ELAVL4|1996,HuR_00032,RBP/SF
ENOX1,ENOX1|55068,ENOX1_00149,RBP/SF
ESRP1,ESRP1|54845,ESRP2_00150,RBP/SF
ESRP2,ESRP2|80004,ESRP2_00150,RBP/SF
EWSR1,EWSR1|2130,-,RBP/SF
FMR1,FMR1|2332,FMR1_00016,RBP/SF
FUS,FUS|2521,FUS_00018,RBP/SF
FXR1,FXR1|8087,FXR1_00161,RBP/SF
FXR2,FXR2|9513,FXR2_00020,RBP/SF
G3BP1,G3BP1|10146,G3BP2_00021,RBP/SF
G3BP2,G3BP2|9908,G3BP2_00021,RBP/SF
GEMIN5,GEMIN5|25929,-,RBP/SF
HNRNPA0,HNRNPA0|10949,-,RBP/SF
HNRNPA1,HNRNPA1|3178,HNRNPA1_00022,RBP/SF
HNRNPA1L2,HNRNPA1L2|144983,HNRNPA1L2_00023,RBP/SF
HNRNPA2B1,HNRNPA2B1|3181,HNRNPA2B1_00024,RBP/SF
HNRNPA3,HNRNPA3|220988,-,RBP/SF
HNRNPAB,HNRNPAB|3182,HNRNPAB_00245,RBP/SF
HNRNPC,HNRNPC|3183,HNRNPC_00025,RBP/SF
HNRNPCL1,HNRNPCL1|343069,HNRNPCL1_00167,RBP/SF
HNRNPD,HNRNPD|3184,-,RBP/SF
HNRNPDL,HNRPDL|9987,-,RBP/SF
HNRNPF,HNRNPF|3185,-,RBP/SF
HNRNPH1,HNRNPH1|3187,-,RBP/SF
HNRNPH2,HNRNPH2|3188,HNRNPH2_00160,RBP/SF
HNRNPH3,HNRNPH3|3189,-,RBP/SF
HNRNPK,HNRNPK|3190,HNRNPK_00026,RBP/SF
HNRNPL,HNRNPL|3191,HNRNPL_00091,RBP/SF
HNRNPLL,HNRPLL|92906,HNRPLL_00178,RBP/SF
HNRNPM,HNRNPM|4670,-,RBP/SF
HNRNPR,HNRNPR|10236,-,RBP/SF
HNRNPU,HNRNPU|3192,-,RBP/SF
HNRNPUL1,HNRNPUL1|11100,-,RBP/SF
HNRNPUL2,HNRNPUL2|221092,-,RBP/SF
IGF2BP1,IGF2BP1|10642,IGF2BP2_00033,RBP/SF
IGF2BP2,IGF2BP2|10644,IGF2BP2_00033,RBP/SF
IGF2BP3,IGF2BP3|10643,IGF2BP3_00172,RBP/SF
KHDRBS1,KHDRBS1|10657,KHDRBS1_00169,RBP/SF
KHDRBS2,KHDRBS2|202559,KHDRBS2_00185,RBP/SF
KHDRBS3,KHDRBS3|10656,KHDRBS3_00034,RBP/SF
KHSRP,KHSRP|8570,-,RBP/SF
LIN28A,LIN28A|79727,LIN28A_00036,RBP/SF
MATR3,MATR3|9782,MATR3_00037,RBP/SF
MBNL1,MBNL1|4154,MBNL1_00038,RBP/SF
MBNL2,MBNL2|10150,MBNL1_00038,RBP/SF
MBNL3,MBNL3|55796,MBNL1_00038,RBP/SF
MSI1,MSI1|4440,MSI1_00041,RBP/SF
NOVA1,NOVA1|4857,-,RBP/SF
NOVA2,NOVA2|4858,-,RBP/SF
PABPC1,PABPC1|26986,PABPC1_00155,RBP/SF
PABPC3,PABPC3|5042,PABPC3_00153,RBP/SF
PABPC4,PABPC4|8761,PABPC4_00043,RBP/SF
PABPC5,PABPC5|140886,PABPC5_00171,RBP/SF
PABPN1,PABPN1|8106,PABPN1_00157,RBP/SF
PCBP1,PCBP1|5093,PCBP1_00186,RBP/SF
PCBP2,PCBP2|5094,PCBP2_00044,RBP/SF
PCBP3,PCBP3|54039,PCBP3_00215,RBP/SF
PPRC1,PPRC1|23082,PPRC1_00045,RBP/SF
PRPF40A,PRPF40A|55660,-,RBP/SF
PRPF40B,PRPF40B|25766,-,RBP/SF
PTBP1,PTBP1|5725,PTBP1_00268,RBP/SF
PTBP2,PTBP2|58155,PTBP1_00268,RBP/SF
QKI,QKI|9444,QKI_00047,RBP/SF
RALY,RALY|22913,RALY_00159,RBP/SF
RBFOX1,A2BP1|54715,RBFOX1_00168,RBP/SF
RBFOX2,RBM9|23543,RBFOX1_00168,RBP/SF
RBFOX3,HRNBP3|146713,RBFOX1_00168,RBP/SF
RBM10,RBM10|8241,-,RBP/SF
RBM11,RBM11|54033,-,RBP/SF
RBM15,RBM15|64783,-,RBP/SF
RBM15B,RBM15B|29890,-,RBP/SF
RBM17,RBM17|84991,-,RBP/SF
RBM20,RBM20|282996,-,RBP/SF
RBM22,RBM22|55696,-,RBP/SF
RBM23,RBM23|55147,-,RBP/SF
RBM24,RBM24|221662,RBM24_00184,RBP/SF
RBM25,RBM25|58517,-,RBP/SF
RBM28,RBM28|55131,RBM28_00049,RBP/SF
RBM3,RBM3|5935,RBM3_00050,RBP/SF
RBM38,RBM38|55544,Rbm38_00283,RBP/SF
RBM39,RBM39|9584,-,RBP/SF
RBM4,RBM4|5936,RBM4_00052,RBP/SF
RBM41,RBM41|55285,-,RBP/SF
RBM42,RBM42|79171,RBM42_00151,RBP/SF
RBM45,RBM45|129831,RBM45_00241,RBP/SF
RBM46,RBM46|166863,RBM46_00054,RBP/SF
RBM47,RBM47|54502,RBM47_00279,RBP/SF
RBM4B,RBM4B|83759,-,RBP/SF
RBM5,RBM5|10181,RBM5_00055,RBP/SF
RBM6,RBM6|10180,RBM6_00170,RBP/SF
RBM7,RBM7|10179,-,RBP/SF
RBM8A,RBM8A|9939,RBM8A_00056,RBP/SF
RBMS1,RBMS1|5937,RBMS1_00152,RBP/SF
RBMS3,RBMS3|27303,RBMS3_00057,RBP/SF
RBMX,RBMX|27316,-,RBP/SF
RBMXL1,RBMXL1|494115,-,RBP/SF
RBMY1A1,RBMY1A1|5940,-,RBP/SF
RBMY1B,RBMY1B|378948,-,RBP/SF
RBMY1D,-,-,RBP/SF
RBMY1E,RBMY1E|378950,-,RBP/SF
RBMY1F,RBMY1F|159163,-,RBP/SF
RBMY1J,RBMY1J|378951,-,RBP/SF
SAMD4A,SAMD4A|23034,SAMD4A_00063,RBP/SF
SART3,SART3|9733,SART3_00064,RBP/SF
SF1,SF1|7536,SF1_00065,RBP/SF
SF3A1,SF3A1|10291,-,RBP/SF
SF3B1,SF3B1|23451,-,RBP/SF
SFPQ,SFPQ|6421,SFPQ_00177,RBP/SF
SNRNP70,SNRNP70|6625,SNRNP70_00070,RBP/SF
SNRPA,SNRPA|6626,SNRPA_00071,RBP/SF
SRP54,SRP54|6729,SRP54_00272,RBP/SF
SRPK1,SRPK1|6732,-,RBP/SF
SRPK2,SRPK2|6733,-,RBP/SF
SRPK3,SRPK3|26576,-,RBP/SF
SRRM1,SRRM1|10250,-,RBP/SF
SRRM2,SRRM2|23524,-,RBP/SF
SRRM3,SRRM3|222183,-,RBP/SF
SRRM4,SRRM4|84530,-,RBP/SF
SRSF1,SFRS1|6426,SRSF1_00109,RBP/SF
SRSF10,SFRS13A|10772,SRSF10_00090,RBP/SF
SRSF11,SFRS11|9295,-,RBP/SF
SRSF12,SFRS13B|135295,-,RBP/SF
SRSF2,SFRS2|6427,SRSF2_00072,RBP/SF
SRSF3,SFRS3|6428,-,RBP/SF
SRSF4,SFRS4|6429,-,RBP/SF
SRSF5,SFRS5|6430,-,RBP/SF
SRSF6,SFRS6|6431,-,RBP/SF
SRSF7,SFRS7|6432,SRSF7_00073,RBP/SF
SRSF8,SFRS2B|10929,-,RBP/SF
SRSF9,SFRS9|8683,SRSF9_00067,RBP/SF
SYNCRIP,SYNCRIP|10492,Syncrip_00281,RBP/SF
TARDBP,TARDBP|23435,TARDBP_00076,RBP/SF
TIA1,TIA1|7072,TIA1_00165,RBP/SF
TIAL1,TIAL1|7073,TIA1_00165,RBP/SF
TRA2A,TRA2A|29896,-,RBP/SF
TRA2B,TRA2B|6434,TRA2_00078,RBP/SF
TUT1,TUT1|64852,-,RBP/SF
U2AF1,U2AF1|7307,-,RBP/SF
U2AF1L4,U2AF1L4|199746,-,RBP/SF
U2AF2,U2AF2|11338,U2AF2_00079,RBP/SF
WT1,WT1|7490,-,RBP/SF
YBX1,YBX1|4904,YBX1_00083,RBP/SF
YBX2,YBX2|51087,YBX2_00084,RBP/SF
ZC3H10,ZC3H10|84872,ZC3H10_00085,RBP/SF
ZC3H14,ZC3H14|79882,ZC3H14_00086,RBP/SF
ZCRB1,ZCRB1|85437,ZCRB1_00087,RBP/SF
ZNF638,ZNF638|27332,ZNF638_00164,RBP/SF
ZRANB2,ZRANB2|9406,-,RBP/SF
ZRSR1,-,-,RBP/SF
ZRSR2,ZRSR2|8233,-,RBP/SF
AATF,AATF|26574,-,RBP
ABCF1,ABCF1|23,-,RBP
ABT1,ABT1|29777,-,RBP
ACAA2,ACAA2|10449,-,RBP
ACIN1,ACIN1|22985,-,RBP
ACTB,ACTB|60,-,RBP
ACTN1,ACTN1|87,-,RBP
ACTN4,ACTN4|81,-,RBP
ADAR,ADAR|103,-,RBP
ADARB1,ADARB1|104,-,RBP
ADARB2,ADARB2|105,-,RBP
ADD1,ADD1|118,-,RBP
ADK,ADK|132,-,RBP
AEN,AEN|64782,-,RBP
AFF2,AFF2|2334,-,RBP
AHNAK,AHNAK|79026,-,RBP
AKAP1,AKAP1|8165,-,RBP
AKAP8,AKAP8|10270,-,RBP
AKAP8L,AKAP8L|26993,-,RBP
ALDH18A1,ALDH18A1|5832,-,RBP
ALDH6A1,ALDH6A1|4329,-,RBP
ALDOA,ALDOA|226,-,RBP
ALG13,ALG13|79868,-,RBP
ALKBH5,ALKBH5|54890,-,RBP
ANKRD17,ANKRD17|26057,-,RBP
ANP32A,ANP32A|8125,-,RBP
ANP32B,ANP32B|10541,-,RBP
ANXA11,ANXA11|311,-,RBP
ANXA2,ANXA2|302,-,RBP
ANXA7,ANXA7|310,-,RBP
APEH,APEH|327,-,RBP
APEX1,APEX1|328,-,RBP
API5,API5|8539,-,RBP
APOBEC3B,APOBEC3B|9582,-,RBP
APOBEC3C,APOBEC3C|27350,-,RBP
APOBEC3F,APOBEC3F|200316,-,RBP
APOBEC3H,APOBEC3H|164668,-,RBP
AQR,AQR|9716,-,RBP
ARCN1,ARCN1|372,-,RBP
ARF1,ARF1|375,-,RBP
ARHGEF1,ARHGEF1|9138,-,RBP
ARL6IP4,ARL6IP4|51329,-,RBP
ASCC3,ASCC3|10973,-,RBP
ASS1,ASS1|445,-,RBP
ATP5A1,ATP5A1|498,-,RBP
ATP5C1,ATP5C1|509,-,RBP
ATXN2,ATXN2|6311,-,RBP
ATXN2L,ATXN2L|11273,-,RBP
BAG4,BAG4|9530,-,RBP
BAT1,BAT1|7919,-,RBP
BAT2,BAT2|7916,-,RBP
BAT2L1,BAT2L1|84726,-,RBP
BAT2L2,BAT2L2|23215,-,RBP
BCAS2,BCAS2|10286,-,RBP
BCCIP,BCCIP|56647,-,RBP
BCLAF1,BCLAF1|9774,-,RBP
BICC1,BICC1|80114,-,RBP
BMS1,BMS1|9790,-,RBP
BOP1,BOP1|23246,-,RBP
BRDT,BRDT|676,-,RBP
BRIX1,BRIX1|55299,-,RBP
BST2,BST2|684,-,RBP
BTF3,BTF3|689,-,RBP
BUD13,BUD13|84811,-,RBP
BUD31,BUD31|8896,-,RBP
BYSL,BYSL|705,-,RBP
BZW1,BZW1|9689,-,RBP
BZW2,BZW2|28969,-,RBP
C11orf31,C11orf31|280636,-,RBP
C11orf68,C11orf68|83638,-,RBP
C12orf43,C12orf43|64897,-,RBP
C14orf156,C14orf156|81892,-,RBP
C14orf166,C14orf166|51637,-,RBP
C14orf21,C14orf21|161424,-,RBP
C14orf93,C14orf93|60686,-,RBP
C15orf52,C15orf52|388115,-,RBP
C16orf57,C16orf57|79650,-,RBP
C16orf80,C16orf80|29105,-,RBP
C16orf88,C16orf88|400506,-,RBP
C17orf42,C17orf42|79736,-,RBP
C17orf85,C17orf85|55421,-,RBP
C19orf29,C19orf29|58509,-,RBP
C19orf47,C19orf47|126526,-,RBP
C1QBP,C1QBP|708,-,RBP
C1orf107,C1orf107|27042,-,RBP
C1orf131,C1orf131|128061,-,RBP
C1orf204,C1orf204|284677,-,RBP
C1orf25,C1orf25|81627,-,RBP
C1orf31,C1orf31|388753,-,RBP
C1orf35,C1orf35|79169,-,RBP
C1orf52,C1orf52|148423,-,RBP
C1orf57,C1orf57|84284,-,RBP
C1orf69,C1orf69|200205,-,RBP
C1orf77,C1orf77|26097,-,RBP
C21orf70,C21orf70|85395,-,RBP
C22orf28,C22orf28|51493,-,RBP
C2orf15,C2orf15|150590,-,RBP
C3orf26,C3orf26|84319,-,RBP
C3orf63,C3orf63|23272,-,RBP
C4BPA,C4BPA|722,-,RBP
C4orf14,C4orf14|84273,-,RBP
C4orf43,C4orf43|55319,-,RBP
C6orf153,C6orf153|88745,-,RBP
C7orf50,C7orf50|84310,-,RBP
C9orf114,C9orf114|51490,-,RBP
C9orf23,C9orf23|138716,-,RBP
CALR,CALR|811,-,RBP
CANX,CANX|821,-,RBP
CAPRIN1,CAPRIN1|4076,-,RBP
CASC3,CASC3|22794,-,RBP
CAST,CAST|831,-,RBP
CCAR1,CCAR1|55749,-,RBP
CCBL2,CCBL2|56267,-,RBP
CCDC108,CCDC108|255101,-,RBP
CCDC12,CCDC12|151903,-,RBP
CCDC124,CCDC124|115098,-,RBP
CCDC137,CCDC137|339230,-,RBP
CCDC47,CCDC47|57003,-,RBP
CCDC55,CCDC55|84081,-,RBP
CCDC59,CCDC59|29080,-,RBP
CCDC86,CCDC86|79080,-,RBP
CCDC9,CCDC9|26093,-,RBP
CCDC94,CCDC94|55702,-,RBP
CCT3,CCT3|7203,-,RBP
CCT4,CCT4|10575,-,RBP
CCT6A,CCT6A|908,-,RBP
CD2BP2,CD2BP2|10421,-,RBP
CD3EAP,CD3EAP|10849,-,RBP
CDC40,CDC40|51362,-,RBP
CDC42EP4,CDC42EP4|23580,-,RBP
CDC5L,CDC5L|988,-,RBP
CDK11B,CDK11B|984,-,RBP
CDK12,CDK12|51755,-,RBP
CDK13,CDK13|8621,-,RBP
CDKN2A,CDKN2A|1029,-,RBP
CEBPZ,CEBPZ|10153,-,RBP
CGGBP1,CGGBP1|8545,-,RBP
CHCHD1,CHCHD1|118487,-,RBP
CHD2,CHD2|1106,-,RBP
CHD3,CHD3|1107,-,RBP
CHERP,CHERP|10523,-,RBP
CIR1,CIR1|9541,-,RBP
CIRBP,CIRBP|1153,-,RBP
CIRH1A,CIRH1A|84916,-,RBP
CISD2,CISD2|493856,-,RBP
CKAP4,CKAP4|10970,-,RBP
CLK1,CLK1|1195,-,RBP
CLK2,CLK2|1196,-,RBP
CLK3,CLK3|1198,-,RBP
CLK4,CLK4|57396,-,RBP
CLNS1A,CLNS1A|1207,-,RBP
CLP1,CLP1|10978,-,RBP
CLTC,CLTC|1213,-,RBP
CNBP,CNBP|7555,-,RBP
CNN3,CNN3|1266,-,RBP
CNOT1,CNOT1|23019,-,RBP
COL14A1,COL14A1|7373,-,RBP
CORO1A,CORO1A|11151,-,RBP
CPNE3,CPNE3|8895,-,RBP
CPSF1,CPSF1|29894,-,RBP
CPSF2,CPSF2|53981,-,RBP
CPSF3,CPSF3|51692,-,RBP
CPSF4,CPSF4|10898,-,RBP
CPSF6,CPSF6|11052,-,RBP
CPSF7,CPSF7|79869,-,RBP
CRKL,CRKL|1399,-,RBP
CRNKL1,CRNKL1|51340,-,RBP
CS,CS|1431,-,RBP
CSDA,CSDA|8531,-,RBP
CSDE1,CSDE1|7812,-,RBP
CSNK1E,CSNK1E|1454,-,RBP
CSRP1,CSRP1|1465,-,RBP
CSTB,CSTB|1476,-,RBP
CSTF1,CSTF1|1477,-,RBP
CSTF2,CSTF2|1478,-,RBP
CSTF2T,CSTF2T|23283,-,RBP
CSTF3,CSTF3|1479,-,RBP
CTNNA1,CTNNA1|1495,-,RBP
CTNNBL1,CTNNBL1|56259,-,RBP
CWC15,CWC15|51503,-,RBP
CWC22,CWC22|57703,-,RBP
CWC25,CWC25|54883,-,RBP
CWC27,CWC27|10283,-,RBP
CXorf57,CXorf57|55086,-,RBP
DAP3,DAP3|7818,-,RBP
DARS,DARS|1615,-,RBP
DAZ1,DAZ1|1617,-,RBP
DAZ2,DAZ2|57055,-,RBP
DAZ3,DAZ3|57054,-,RBP
DAZ4,DAZ4|57135,-,RBP
DBR1,DBR1|51163,-,RBP
DCAF13,DCAF13|25879,-,RBP
DCD,DCD|117159,-,RBP
DCN,DCN|1634,-,RBP
DDX1,DDX1|1653,-,RBP
DDX10,DDX10|1662,-,RBP
DDX17,DDX17|10521,-,RBP
DDX18,DDX18|8886,-,RBP
DDX20,DDX20|11218,-,RBP
DDX21,DDX21|9188,-,RBP
DDX23,DDX23|9416,-,RBP
DDX24,DDX24|57062,-,RBP
DDX27,DDX27|55661,-,RBP
DDX28,DDX28|55794,-,RBP
DDX31,DDX31|64794,-,RBP
DDX39,DDX39|10212,-,RBP
DDX3X,DDX3X|1654,-,RBP
DDX41,DDX41|51428,-,RBP
DDX42,DDX42|11325,-,RBP
DDX46,DDX46|9879,-,RBP
DDX47,DDX47|51202,-,RBP
DDX49,DDX49|54555,-,RBP
DDX5,DDX5|1655,-,RBP
DDX50,DDX50|79009,-,RBP
DDX51,DDX51|317781,-,RBP
DDX52,DDX52|11056,-,RBP
DDX54,DDX54|79039,-,RBP
DDX55,DDX55|57696,-,RBP
DDX56,DDX56|54606,-,RBP
DDX6,DDX6|1656,-,RBP
DEK,DEK|7913,-,RBP
DGCR14,DGCR14|8220,-,RBP
DHX15,DHX15|1665,-,RBP
DHX16,DHX16|8449,-,RBP
DHX29,DHX29|54505,-,RBP
DHX30,DHX30|22907,-,RBP
DHX32,DHX32|55760,-,RBP
DHX33,DHX33|56919,-,RBP
DHX34,DHX34|9704,-,RBP
DHX35,DHX35|60625,-,RBP
DHX36,DHX36|170506,-,RBP
DHX38,DHX38|9785,-,RBP
DHX57,DHX57|90957,-,RBP
DHX8,DHX8|1659,-,RBP
DHX9,DHX9|1660,-,RBP
DIAPH1,DIAPH1|1729,-,RBP
